Actor1/Actress1	Actor2/Actress2
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
